"";"Year";"Mo";"Da";"Ho";"Area";"Lat";"Lon";"Dep";"M"
"1";1008;4;27;18;"Dinavar";34,6;47,4;NA;7
"2";1033;12;5;NA;"Jordan";32,5;35,5;NA;7,4
"3";1038;1;15;NA;"Dingxiang, Xinxian (Shanxi)";38,4;112,9;NA;7,25
"4";1045;4;5;NA;"Erzinc.";40;38;NA;7,4
"5";1050;8;5;NA;"Cankiri";41;33,5;NA;7,4
"6";1052;NA;NA;NA;"Khuzistan";31,5;50;NA;6,8
"7";1052;6;2;NA;"Baihaq";36,2;57,7;NA;7
"8";1058;11;NA;NA;"Iraq";35,8;43,6;25;7,2
"9";1063;7;30;NA;"[Lebanon]";34,4;36,2;32;6,9
"10";1063;9;23;NA;"Sea of Marmara";40,867;27,411;NA;7,14
"11";1068;3;18;8;"Northern Hejaz";28,5;36,7;NA;7
"12";1096;12;11;8;"Tokaido, Kinki";34;137,5;NA;8,3
"13";1099;2;16;6;"Nankaido, Kinki";33;135,5;NA;8,2
"14";1107;2;12;3;"[Vrancea deep]";45,7;26,6;150;7,1
"15";1114;11;NA;NA;"Urfa";37,3;38,5;40;7,4
"16";1114;11;29;NA;"Antioch, Maras";37,5;37,2;NA;6,9
"17";1117;7;NA;NA;"Jingyuan county in Guyuan (Ningxia)";36;106;NA;7
"18";1125;9;6;NA;"Lanzhou (Gansu)";36,1;103,7;NA;7
"19";1126;8;8;NA;"[Vrancea deep]";45,7;26,6;150;7,1
"20";1139;9;30;NA;"Caucasus";40,3;46,2;23;7,7
"21";1157;8;12;NA;"[Syria]";35,4;36,6;15;7,4
"22";1170;6;29;NA;"[Syria]";34,8;36,4;35;7,7
"23";1177;5;NA;NA;"East Buyin Zahra";35,7;50,7;NA;7,2
"24";1185;8;6;12;"Kyoto Pref., Shiga Pref.";35;135,9;NA;7,4
"25";1196;2;13;7;"[Vrancea deep]";45,7;26,6;150;7,5
"26";1202;5;20;NA;"[Lebanon]";34,1;36,1;30;7,6
"27";1209;NA;NA;12;"Nishapur";36,4;58,7;NA;7,5
"28";1212;5;1;NA;"Dead Sea";30;35;NA;7
"29";1216;3;24;NA;"Leibo (Sichuan)";28,4;103,8;NA;7
"30";1230;5;10;7;"[Vrancea deep]";45,7;26,6;150;7,3
"31";1246;NA;NA;NA;"Chania";35,4;23,3;NA;7
"32";1254;10;11;NA;"Susehri";40;39;NA;7,4
"33";1257;10;2;20;"Kamakura (Sanriku?)";35,3;139,6;NA;7,3
"34";1260;NA;NA;NA;"Caucasus";43,2;51,6;20;7,2
"35";1268;NA;NA;NA;"Turkey";39,8;40;25;7,2
"36";1270;10;7;12;"Nishapur";36,2;58,8;NA;7
"37";1275;10;3;NA;"Ercis";38,883;42,916;NA;6,8
"38";1290;10;4;NA;"W of Ningcheng (Inner Mongolia)";41,6;119,3;NA;6,75
"39";1293;5;20;6;"Kamakura";35,2;139,5;NA;7,5
"40";1303;8;8;3;"Crete";35,717;25,797;NA;8,26
"41";1303;9;25;NA;"Hongtong and Zaocheng (Shanxi)";36,3;111,7;NA;8
"42";1309;2;22;5;"Offshore Portugal";36;-11;NA;7
"43";1327;NA;NA;NA;"[Vrancea deep]";45,7;26,6;150;7,3
"44";1331;8;7;NA;"Kiichirihama";33,7;135,2;NA;7
"45";1336;10;21;6;"Kwaf";34,7;59,7;NA;7,5
"46";1344;1;2;NA;"[Turkey]";36,7;37,4;30;6,8
"47";1352;4;26;NA;"SE of Jiuquan (Gansu)";35,6;105,3;NA;7
"48";1354;3;1;17;"Sea of Marmara";40,525;26,846;NA;7,06
"49";1356;8;24;NA;"SW. Cabo San Vicente";36;-10,7;NA;7,5
"50";1360;11;14;NA;"Japan";33,4;136,2;NA;7,8
"51";1361;7;26;4;"Cent. and South. Kinki, Shikoku";33;135;NA;8,4
"52";1363;NA;NA;NA;"Turkey";38,7;41,6;15;6,9
"53";1365;1;3;18;"Algeria";36,77;3,05;NA;7
"54";1389;2;NA;NA;"Nishapur";36,2;58,8;NA;7,5
"55";1403;NA;NA;NA;"Kii";33,7;136,5;NA;7
"56";1404;2;20;NA;"[Syria]";35,7;36,2;30;7,4
"57";1405;11;23;NA;"Nishapur";36,2;58,8;NA;7,5
"58";1408;1;12;NA;"Kii peninsula";33;136;NA;7,5
"59";1408;12;29;NA;"[Syria]";35,8;36,1;25;7,4
